  A. Deer  B. Rabbit  C. Elephant  D. Donkey
  A. Manuel  B. Pedro  C. Alfonso  D. Javier
  A. Thirty Years War  B. Hundred Years War  C. War of the Roses  D. English Civil War
  A. John Lennon  B. Paul McCartney  C. George Harrison  D. Ringo Starr
  A. James II  B. Henry VIII  C. Victoria  D. William I
  A. Irving Berlin  B. George Gershwin  C. Aaron Copland  D. Cole Porter
  A. 15  B. 20  C. 25  D. 30
  A. Carriage  B. Wrestling style  C. Cocktail  D. Horse
  A. Hamlet  B. Macbeth  C. Othello  D. The Merchant of Venice
  A. Dallas  B. Los Angeles  C. New York  D. Anchorage
  A. The few  B. The best  C. The barons  D. The rich
  A. Around the neck  B. On the head  C. Around the waist  D. On the wrist
  A. Greenwich  B. Richmond  C. Hampton Court  D. Kensington
  A. Lewis Carroll  B. Edward Lear  C. James Joyce  D. Aldous Huxley
  A. Crete  B. Cyprus  C. Corsica  D. Corfu
